Layer,	Cycles,	% Utilization,
DSConv1,	1047,	40.7278605015674,
WA1,	2138,	91.84809197651663,
DSConv2,	9256,	94.11203178612276,
WA2,	14174,	99.40820784202302,
DSConv3,	2600,	94.45322902796272,
WA3,	9276,	98.15924657534246,
DSConv4,	5160,	97.16816791298436,
WA4,	18348,	99.0615848164001,
DSConv5,	1320,	89.34622762148338,
WA5,	10024,	96.57150205761317,
DSConv6,	2600,	94.45322902796272,
WA6,	17960,	98.11253964657907,
DSConv7,	2600,	94.45322902796272,
WA7,	15206,	97.95300982800983,
DSConv8,	648,	45.06996909340659,
WA8,	4306,	47.67543247767857,
DSConv9,	440,	43.38784159919029,
WA9,	995,	45.5014848812095,
DSConv10,	200,	35.41782924107143,
WA10,	484,	41.668749999999996,
DSConv11,	94,	7.691988031914894,
WA11,	370,	8.660182823129253,
DSConv12,	76,	6.553248355263158,
WA12,	174,	9.1796875,
DSConv13,	67,	5.516849347014925,
WA13,	1515,	2.3686079545454546,
FC1,	7808,	3.106386896375048,
FC2,	8224,	3.1073285297336737,
FC3,	522,	0.9512580974088293,
