Layer,	Cycles,	% Utilization,
DSConv1,	1047,	40.7278605015674,
WA1,	56329,	0.6960227272727273,
DSConv2,	9256,	94.11203178612276,
WA2,	65545,	6.829833984375,
DSConv3,	2600,	94.45322902796272,
WA3,	32777,	8.9447021484375,
DSConv4,	5160,	97.16816791298436,
WA4,	32777,	18.389892578125,
DSConv5,	1320,	89.34622762148338,
WA5,	16393,	17.676544189453125,
DSConv6,	2600,	94.45322902796272,
WA6,	16393,	28.12957763671875,
DSConv7,	2600,	94.45322902796272,
WA7,	15177,	22.840849156118143,
DSConv8,	648,	45.06996909340659,
WA8,	2537,	19.364369066455698,
DSConv9,	440,	43.38784159919029,
WA9,	1001,	14.270413306451612,
DSConv10,	200,	35.41782924107143,
WA10,	777,	10.847981770833332,
DSConv11,	94,	7.691988031914894,
WA11,	153,	7.134331597222222,
DSConv12,	76,	6.553248355263158,
WA12,	113,	6.5655048076923075,
DSConv13,	67,	5.516849347014925,
WA13,	1953,	1.0263953189300412,
FC1,	7808,	3.106386896375048,
FC2,	8224,	3.1073285297336737,
FC3,	522,	0.9512580974088293,
