0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 10000000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, 1, 1095, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 10000001, 10001095, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2, 2, 1096, 2190, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 10000002, 10001096, 10002190, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3, 3, 1097, 2191, 3285, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 10000003, 10001097, 10002191, 10003285, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4, 4, 1098, 2192, 3286, 4380, , , , , , , , , , , , , , , , , , , , , , , , , , , , 10000004, 10001098, 10002192, 10003286, 10004380, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, 5, 1099, 2193, 3287, 4381, 5475, , , , , , , , , , , , , , , , , , , , , , , , , , , 10000005, 10001099, 10002193, 10003287, 10004381, 10005475, , , , , , , , , , , , , , , , , , , , , , , , , , , 
6, 6, 1100, 2194, 3288, 4382, 5476, 6570, , , , , , , , , , , , , , , , , , , , , , , , , , 10000006, 10001100, 10002194, 10003288, 10004382, 10005476, 10006570, , , , , , , , , , , , , , , , , , , , , , , , , , 
19, 19, 1113, 2207, 3301, 4395, 5489, 6583, 7677, 8771, 9865, 10959, 12053, 13147, 14241, 15335, 16429, 17523, 18617, 19711, 20805, , , , , , , , , , , , , 10000019, 10001113, 10002207, 10003301, 10004395, 10005489, 10006583, 10007677, 10008771, 10009865, 10010959, 10012053, 10013147, 10014241, 10015335, 10016429, 10017523, 10018617, 10019711, 10020805, , , , , , , , , , , , , 
20, 20, 1114, 2208, 3302, 4396, 5490, 6584, 7678, 8772, 9866, 10960, 12054, 13148, 14242, 15336, 16430, 17524, 18618, 19712, 20806, 21900, , , , , , , , , , , , 10000020, 10001114, 10002208, 10003302, 10004396, 10005490, 10006584, 10007678, 10008772, 10009866, 10010960, 10012054, 10013148, 10014242, 10015336, 10016430, 10017524, 10018618, 10019712, 10020806, 10021900, , , , , , , , , , , , 
21, 21, 1115, 2209, 3303, 4397, 5491, 6585, 7679, 8773, 9867, 10961, 12055, 13149, 14243, 15337, 16431, 17525, 18619, 19713, 20807, 21901, 22995, , , , , , , , , , , 10000021, 10001115, 10002209, 10003303, 10004397, 10005491, 10006585, 10007679, 10008773, 10009867, 10010961, 10012055, 10013149, 10014243, 10015337, 10016431, 10017525, 10018619, 10019713, 10020807, 10021901, 10022995, , , , , , , , , , , 
22, 22, 1116, 2210, 3304, 4398, 5492, 6586, 7680, 8774, 9868, 10962, 12056, 13150, 14244, 15338, 16432, 17526, 18620, 19714, 20808, 21902, 22996, 24090, , , , , , , , , , 10000022, 10001116, 10002210, 10003304, 10004398, 10005492, 10006586, 10007680, 10008774, 10009868, 10010962, 10012056, 10013150, 10014244, 10015338, 10016432, 10017526, 10018620, 10019714, 10020808, 10021902, 10022996, 10024090, , , , , , , , , , 
23, 23, 1117, 2211, 3305, 4399, 5493, 6587, 7681, 8775, 9869, 10963, 12057, 13151, 14245, 15339, 16433, 17527, 18621, 19715, 20809, 21903, 22997, 24091, 25185, , , , , , , , , 10000023, 10001117, 10002211, 10003305, 10004399, 10005493, 10006587, 10007681, 10008775, 10009869, 10010963, 10012057, 10013151, 10014245, 10015339, 10016433, 10017527, 10018621, 10019715, 10020809, 10021903, 10022997, 10024091, 10025185, , , , , , , , , 
24, 24, 1118, 2212, 3306, 4400, 5494, 6588, 7682, 8776, 9870, 10964, 12058, 13152, 14246, 15340, 16434, 17528, 18622, 19716, 20810, 21904, 22998, 24092, 25186, 26280, , , , , , , , 10000024, 10001118, 10002212, 10003306, 10004400, 10005494, 10006588, 10007682, 10008776, 10009870, 10010964, 10012058, 10013152, 10014246, 10015340, 10016434, 10017528, 10018622, 10019716, 10020810, 10021904, 10022998, 10024092, 10025186, 10026280, , , , , , , , 
25, 25, 1119, 2213, 3307, 4401, 5495, 6589, 7683, 8777, 9871, 10965, 12059, 13153, 14247, 15341, 16435, 17529, 18623, 19717, 20811, 21905, 22999, 24093, 25187, 26281, 27375, , , , , , , 10000025, 10001119, 10002213, 10003307, 10004401, 10005495, 10006589, 10007683, 10008777, 10009871, 10010965, 10012059, 10013153, 10014247, 10015341, 10016435, 10017529, 10018623, 10019717, 10020811, 10021905, 10022999, 10024093, 10025187, 10026281, 10027375, , , , , , , 
26, 26, 1120, 2214, 3308, 4402, 5496, 6590, 7684, 8778, 9872, 10966, 12060, 13154, 14248, 15342, 16436, 17530, 18624, 19718, 20812, 21906, 23000, 24094, 25188, 26282, 27376, 28470, , , , , , 10000026, 10001120, 10002214, 10003308, 10004402, 10005496, 10006590, 10007684, 10008778, 10009872, 10010966, 10012060, 10013154, 10014248, 10015342, 10016436, 10017530, 10018624, 10019718, 10020812, 10021906, 10023000, 10024094, 10025188, 10026282, 10027376, 10028470, , , , , , 
27, 27, 1121, 2215, 3309, 4403, 5497, 6591, 7685, 8779, 9873, 10967, 12061, 13155, 14249, 15343, 16437, 17531, 18625, 19719, 20813, 21907, 23001, 24095, 25189, 26283, 27377, 28471, 29565, , , , , 10000027, 10001121, 10002215, 10003309, 10004403, 10005497, 10006591, 10007685, 10008779, 10009873, 10010967, 10012061, 10013155, 10014249, 10015343, 10016437, 10017531, 10018625, 10019719, 10020813, 10021907, 10023001, 10024095, 10025189, 10026283, 10027377, 10028471, 10029565, , , , , 
28, 28, 1122, 2216, 3310, 4404, 5498, 6592, 7686, 8780, 9874, 10968, 12062, 13156, 14250, 15344, 16438, 17532, 18626, 19720, 20814, 21908, 23002, 24096, 25190, 26284, 27378, 28472, 29566, 30660, , , , 10000028, 10001122, 10002216, 10003310, 10004404, 10005498, 10006592, 10007686, 10008780, 10009874, 10010968, 10012062, 10013156, 10014250, 10015344, 10016438, 10017532, 10018626, 10019720, 10020814, 10021908, 10023002, 10024096, 10025190, 10026284, 10027378, 10028472, 10029566, 10030660, , , , 
