Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
DSConv1,	-327.0,	-1.0,	3264,	-14.0,	-1.0,	135,	1047.0,	2582.0,	15360,	23.0,	1046.0,	15360,	0.0,	318.0,	13855,	
WA1,	-1536.0,	-1.0,	15360,	-44.0,	-1.0,	435,	1067.0,	4036.0,	29696,	43.0,	1066.0,	29696,	0.0,	510.0,	29791,	
DSConv2,	-327.0,	-1.0,	3264,	-131.0,	-1.0,	1305,	4136.0,	18984.0,	148480,	40.0,	5159.0,	148480,	0.0,	1470.0,	89311,	
WA2,	-14848.0,	-1.0,	148480,	-885.0,	-1.0,	8845,	9309.0,	15555.0,	62464,	176.0,	9308.0,	62464,	0.0,	9310.0,	589311,	
DSConv3,	-87.0,	-1.0,	864,	-275.0,	-1.0,	2745,	2600.0,	10407.0,	78080,	40.0,	2599.0,	78080,	0.0,	750.0,	45751,	
WA3,	-7808.0,	-1.0,	78080,	-2776.0,	-1.0,	27755,	7316.0,	9645.0,	23296,	336.0,	7315.0,	23296,	0.0,	7350.0,	463631,	
DSConv4,	-87.0,	-1.0,	864,	-410.0,	-1.0,	4095,	3880.0,	15527.0,	116480,	40.0,	3879.0,	116480,	0.0,	1110.0,	68431,	
WA4,	-11648.0,	-1.0,	116480,	-5688.0,	-1.0,	56875,	14527.0,	17726.0,	32000,	486.0,	14526.0,	32000,	0.0,	14590.0,	935511,	
DSConv5,	-24.0,	-1.0,	240,	-563.0,	-1.0,	5625,	1320.0,	5319.0,	40000,	40.0,	1319.0,	40000,	0.0,	390.0,	23161,	
WA5,	-4000.0,	-1.0,	40000,	-10188.0,	-1.0,	101875,	7379.0,	8422.0,	10432,	656.0,	7378.0,	10432,	0.0,	7530.0,	451281,	
DSConv6,	-24.0,	-1.0,	240,	-734.0,	-1.0,	7335,	1704.0,	6919.0,	52160,	40.0,	1703.0,	52160,	0.0,	498.0,	30145,	
WA6,	-5216.0,	-1.0,	52160,	-9536.0,	-1.0,	95355,	6479.0,	7227.0,	7488,	846.0,	6478.0,	7488,	0.0,	6550.0,	405901,	
DSConv7,	-24.0,	-1.0,	240,	-527.0,	-1.0,	5265,	1256.0,	4999.0,	37440,	40.0,	1255.0,	37440,	0.0,	372.0,	21847,	
WA7,	-3744.0,	-1.0,	37440,	-5967.0,	-1.0,	59670,	4624.0,	5276.0,	6528,	616.0,	4623.0,	6528,	0.0,	4710.0,	273811,	
DSConv8,	-8.0,	-1.0,	72,	-459.0,	-1.0,	4590,	296.0,	1111.0,	8160,	40.0,	295.0,	8160,	0.0,	172.0,	7067,	
WA8,	-816.0,	-1.0,	8160,	-2142.0,	-1.0,	21420,	1030.0,	1097.0,	672,	541.0,	1029.0,	672,	0.0,	1034.0,	38775,	
DSConv9,	-8.0,	-1.0,	72,	-189.0,	-1.0,	1890,	152.0,	487.0,	3360,	40.0,	151.0,	3360,	0.0,	84.0,	2983,	
WA9,	-336.0,	-1.0,	3360,	-315.0,	-1.0,	3150,	240.0,	263.0,	240,	224.0,	239.0,	240,	0.0,	224.0,	6735,	
DSConv10,	-8.0,	-1.0,	72,	-68.0,	-1.0,	675,	88.0,	207.0,	1200,	40.0,	87.0,	1200,	0.0,	48.0,	1156,	
WA10,	-120.0,	-1.0,	1200,	-158.0,	-1.0,	1575,	111.0,	144.0,	336,	95.0,	110.0,	336,	0.0,	94.0,	2870,	
DSConv11,	-3.0,	-1.0,	24,	-95.0,	-1.0,	945,	60.0,	101.0,	420,	40.0,	59.0,	420,	0.0,	57.0,	1147,	
WA11,	-42.0,	-1.0,	420,	-137.0,	-1.0,	1365,	121.0,	126.0,	52,	117.0,	120.0,	52,	0.0,	116.0,	1902,	
DSConv12,	-3.0,	-1.0,	24,	-59.0,	-1.0,	585,	54.0,	79.0,	260,	40.0,	53.0,	260,	0.0,	48.0,	742,	
WA12,	-26.0,	-1.0,	260,	-72.0,	-1.0,	715,	79.0,	83.0,	44,	75.0,	78.0,	44,	0.0,	74.0,	1050,	
DSConv13,	-3.0,	-1.0,	24,	-50.0,	-1.0,	495,	48.0,	69.0,	220,	40.0,	47.0,	220,	0.0,	39.0,	607,	
WA13,	-22.0,	-1.0,	220,	-429.0,	-1.0,	4290,	176.0,	207.0,	312,	86.0,	175.0,	312,	0.0,	177.0,	5128,	
FC1,	-8.0,	-1.0,	78,	-3994.0,	-1.0,	39936,	1280.0,	1331.0,	512,	109.0,	1279.0,	512,	0.0,	1278.0,	42463,	
FC2,	-52.0,	-1.0,	512,	-26215.0,	-1.0,	262144,	8224.0,	8275.0,	512,	543.0,	8223.0,	512,	0.0,	8222.0,	278559,	
FC3,	-52.0,	-1.0,	512,	-512.0,	-1.0,	5120,	522.0,	522.0,	10,	521.0,	521.0,	10,	0.0,	520.0,	6153,	
