Layer,	Cycles,	% Utilization,
DSConv1,	1047,	40.7278605015674,
WA1,	1067,	83.30938111545989,
DSConv2,	5160,	88.29877634262407,
WA2,	9311,	94.89536066212008,
DSConv3,	2600,	90.56258322237018,
WA3,	7351,	94.27591696707931,
DSConv4,	3880,	91.66221309630963,
WA4,	14591,	97.3850800579124,
DSConv5,	1320,	88.23354579603581,
WA5,	7531,	84.47557387797106,
DSConv6,	1704,	90.60484249749499,
WA6,	6551,	90.86941640589224,
DSConv7,	1256,	86.64151516420911,
WA7,	4711,	79.04930365766292,
DSConv8,	296,	38.538656069364166,
WA8,	1035,	32.257227506038646,
DSConv9,	152,	30.72610294117647,
WA9,	240,	21.336805555555554,
DSConv10,	88,	15.850207270408163,
WA10,	111,	23.643092105263158,
DSConv11,	60,	4.690867456896552,
WA11,	121,	4.3452857905982905,
DSConv12,	54,	2.92171556122449,
WA12,	79,	3.497395833333333,
DSConv13,	48,	1.9091796875,
WA13,	178,	9.249912219101123,
FC1,	1280,	3.0113858483189992,
FC2,	8224,	3.1073285297336737,
FC3,	522,	0.9512580974088293,
