IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
262144,	262144,	131072,	DSConv1,	1.1220350635957375,	0.04640770024063252,	5.2801650051564115,	4.76280508765899,	5.2801650051564115,
262144,	262144,	131072,	WA1,	2.756640344580043,	0.0780689160086145,	5.329504666188083,	5.346554199569275,	5.329504666188083,
262144,	262144,	131072,	DSConv2,	0.16902283672518253,	0.06757806431567501,	7.688881984361245,	4.624877013101341,	7.688881984361245,
262144,	262144,	131072,	WA2,	4.883728579416505,	0.2909252376410223,	2.0545340920303916,	19.383317435779365,	2.0545340920303916,
262144,	262144,	131072,	DSConv3,	0.08088372963864444,	0.25697434937277663,	7.309492604381202,	4.282999438307433,	7.309492604381202,
262144,	262144,	131072,	WA3,	4.473729444794591,	1.5902710135793274,	1.3347848507419928,	26.564544777402165,	1.3347848507419928,
262144,	262144,	131072,	DSConv4,	0.05421346552048692,	0.2569492376231411,	7.308778314613792,	4.293844512769028,	7.308778314613792,
262144,	262144,	131072,	WA4,	3.9654115884796077,	1.9362361271873085,	1.0893987880438483,	31.84826717505277,	1.0893987880438483,
262144,	262144,	131072,	DSConv5,	0.04080244814688881,	0.9563073784427065,	6.800408024481469,	3.9376062563753824,	6.800408024481469,
262144,	262144,	131072,	WA5,	2.14938205265986,	5.474207415368082,	0.5605588393336915,	24.24938205265986,	0.5605588393336915,
262144,	262144,	131072,	DSConv6,	0.03136025088200706,	0.9584476675813407,	6.8156278583562,	3.9389781784920945,	6.8156278583562,
262144,	262144,	131072,	WA6,	3.111614866074092,	5.688420927041699,	0.4466980850683052,	24.21410248762155,	0.4466980850683052,
262144,	262144,	131072,	DSConv7,	0.04343105320304017,	0.9527687296416938,	6.7752442996742674,	3.9534925805284113,	6.7752442996742674,
262144,	262144,	131072,	WA7,	3.330072044827893,	5.307302321444454,	0.5806279462776839,	24.35390909899493,	0.5806279462776839,
262144,	262144,	131072,	DSConv8,	0.045859872611464965,	2.9235668789808917,	5.197452229299363,	4.501273885350319,	5.197452229299363,
262144,	262144,	131072,	WA8,	2.5192960790367396,	6.613152207471442,	0.20747144180302562,	11.97128743439333,	0.20747144180302562,
262144,	262144,	131072,	DSConv9,	0.10650887573964497,	2.7958579881656807,	4.970414201183432,	4.412721893491124,	4.970414201183432,
262144,	262144,	131072,	WA9,	5.609348914858097,	5.258764607679466,	0.4006677796327212,	11.243739565943239,	0.4006677796327212,
262144,	262144,	131072,	DSConv10,	0.26181818181818184,	2.4545454545454546,	4.363636363636363,	4.203636363636364,	4.363636363636363,
262144,	262144,	131072,	WA10,	3.9735099337748343,	5.21523178807947,	1.1125827814569536,	9.503311258278146,	1.1125827814569536,
262144,	262144,	131072,	DSConv11,	0.12244897959183673,	4.821428571428571,	2.142857142857143,	5.8520408163265305,	2.142857142857143,
262144,	262144,	131072,	WA11,	1.596958174904943,	5.190114068441065,	0.19771863117870722,	7.231939163498099,	0.19771863117870722,
262144,	262144,	131072,	DSConv12,	0.17391304347826086,	4.239130434782608,	1.8840579710144927,	5.3768115942028984,	1.8840579710144927,
262144,	262144,	131072,	WA12,	1.6774193548387097,	4.612903225806452,	0.2838709677419355,	6.774193548387097,	0.2838709677419355,
262144,	262144,	131072,	DSConv13,	0.20168067226890757,	4.159663865546219,	1.8487394957983194,	5.100840336134453,	1.8487394957983194,
262144,	262144,	131072,	WA13,	0.34591194968553457,	6.745283018867925,	0.49056603773584906,	8.062893081761006,	0.49056603773584906,
262144,	262144,	131072,	FC1,	0.014647887323943662,	7.499718309859155,	0.09615023474178404,	7.974272300469484,	0.09615023474178404,
262144,	262144,	131072,	FC2,	0.014844882574659322,	7.600579878225573,	0.014844882574659322,	8.076514931864308,	0.014844882574659322,
262144,	262144,	131072,	FC3,	0.4951644100580271,	4.951644100580271,	0.009671179883945842,	5.950676982591876,	0.009671179883945842,
