Layer,	Cycles,	% Utilization,
DSConv1,	1047,	40.7278605015674,
WA1,	1070,	91.84809197651663,
DSConv2,	9256,	94.11203178612276,
WA2,	6814,	98.75986156594224,
DSConv3,	2600,	94.45322902796272,
WA3,	6788,	96.43048414738647,
DSConv4,	5160,	97.16816791298436,
WA4,	11140,	98.44042493448146,
DSConv5,	1320,	89.34622762148338,
WA5,	6611,	89.06660104986877,
DSConv6,	2600,	94.45322902796272,
WA6,	6115,	96.13219591457754,
DSConv7,	2600,	94.45322902796272,
WA7,	3014,	94.30147058823529,
DSConv8,	648,	45.06996909340659,
WA8,	703,	43.4502751572327,
DSConv9,	440,	43.38784159919029,
WA9,	180,	37.2999237804878,
DSConv10,	200,	35.41782924107143,
WA10,	127,	31.235923423423422,
DSConv11,	94,	7.691988031914894,
WA11,	120,	7.634024784482758,
DSConv12,	76,	6.553248355263158,
WA12,	71,	4.075326492537314,
DSConv13,	67,	5.516849347014925,
WA13,	249,	2.5111607142857144,
FC1,	7808,	3.106386896375048,
FC2,	8224,	3.1073285297336737,
FC3,	522,	0.9512580974088293,
