Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  34, 34,    3, 3,    3,      11,     1,
Conv2,  34, 34,    3, 3,    11,      42,     1,
Conv3,  18, 18,    3, 3,      42,     103,     1,
Conv4,  18, 18,     3, 3,      103,    118,    1,
Conv5,  10, 10,     3, 3,      118,    238,    1,
Conv6,  10, 10,     3, 3,      238,    249,    1,
Conv7,	10, 10,     3,	3,	249,	249,	1,
Conv8,	6,  6,     3,	3,	249,	424,	1,
Conv9,	6,  6,     3,	3,	424,	271,	1,
Conv10,	6,  6,     3,	3,	271,	160,	1,
Conv11,	4,   4,	     3,	3,	160,	36,	1,
Conv12, 4,   4,	     3,	3,	36,	38,	1,
Conv13, 4,   4,	     3,	3,	38,	42,	1,
FC1,	1,   1,	     1,	1,	42,	512,	1,
FC2,	1,   1,	     1,	1,	512,	512,	1,
FC3,	1,   1,	     1,	1,	512,	10,	1,
