Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

DSConv1,  34, 34, 3, 3, 3,    15,    1,
WA1,	  32, 32, 1, 1,	15,   64,     1,

DSConv2,  34, 34, 3, 3, 64,   178,    1,
WA2,	  32, 32, 1, 1,	178,  64,     1,
DSConv3,  34, 34, 3, 3, 64,   267,    1,
WA3,	  32, 32, 1, 1,	267,  64,     1,
DSConv4,  34, 34, 3, 3, 64,   259,    1,
WA4,	  32, 32, 1, 1,	259,  64,     1,
DSConv5,  34, 34, 3, 3, 64,   298,    1,
WA5,	  32, 32, 1, 1,	298,  64,     1,

DSConv6,  34, 34, 3, 3, 64,   286,    2,
WA6,	  16, 16, 1, 1,	286,  128,    1,
DSConv7,  18, 18, 3, 3, 128,  589,    1,
WA7,	  16, 16, 1, 1,	589,  128,    1,
WA8, 	  34, 34, 1, 1, 64,   128,    2,
DSConv9,  18, 18, 3, 3, 128,  606,    1,
WA9,	  16, 16, 1, 1,	606,  128,    1,
DSConv10, 18, 18, 3, 3, 128,  606,    1,
WA10,	  16, 16, 1, 1,	606,  128,    1,

DSConv11, 18, 18, 3, 3, 128,  623,   2,
WA11,	  8,  8,  1, 1,	623,  256,    1,
DSConv12, 10, 10, 3, 3, 256,  1274,   1,
WA12,	  8,  8,  1, 1,	1274, 256,    1,
WA13, 	  18, 18, 1, 1, 128,  256,    2,
DSConv14, 10, 10, 3, 3, 256,  1280,   1,
WA14,	  8,  8,  1, 1,	1280, 256,    1,
DSConv15, 10, 10, 3, 3, 256,  1277,   1,
WA15,	  8,  8,  1, 1,	1277, 256,    1,

DSConv16, 10, 10, 3, 3, 256,  1280,   2,
WA16,	  6,  6,  1, 1,	1280, 512,    1,
DSConv17, 8,  8,  3, 3, 512,  2560,   1,
WA17,	  6,  6,  1, 1,	2560, 512,    1,
WA18, 	  10, 10, 1, 1, 256,  512,    2,
DSConv19, 8, 8,   3, 3, 512,  2559,   1,
WA19,	  6, 6,	  1, 1,	2559, 512,    1,
DSConv20, 8, 8,   3, 3, 512,  1740,   1,
WA20,	  6, 6,	  1, 1,	1740, 512,    1,

FC1, 1, 1, 1, 1, 512, 10, 1,
