Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

DSConv1,  34, 34, 3, 3, 3,    15,    1,
WA1,	  32, 32, 1, 1,	15,  64,     1,

DSConv2,  34, 34, 3, 3, 64,   77,    1,
WA2,	  32, 32, 1, 1,	77,  64,     1,
DSConv3,  34, 34, 3, 3, 64,   85,    1,
WA3,	  32, 32, 1, 1,	85,  64,     1,
DSConv4,  34, 34, 3, 3, 64,   117,    1,
WA4,	  32, 32, 1, 1,	117,  64,     1,
DSConv5,  34, 34, 3, 3, 64,   70,    1,
WA5,	  32, 32, 1, 1,	70,  64,     1,

DSConv6,  34, 34, 3, 3, 64,   96,    2,
WA6,	  16, 16, 1, 1,	96,  128,    1,
DSConv7,  18, 18, 3, 3, 128,  127,    1,
WA7,	  16, 16, 1, 1,	127,  128,    1,
WA8, 	  34, 34, 1, 1, 64,   128,    2,
DSConv9,  18, 18, 3, 3, 128,  304,    1,
WA9,	  16, 16, 1, 1,	304,  128,    1,
DSConv10, 18, 18, 3, 3, 128,  195,    1,
WA10,	  16, 16, 1, 1,	195,  128,    1,

DSConv11, 18, 18, 3, 3, 128,  185,   2,
WA11,	  8,  8,  1, 1,	185, 256,    1,
DSConv12, 10, 10, 3, 3, 256,  294,   1,
WA12,	  8,  8,  1, 1,	294, 256,    1,
WA13, 	  18, 18, 1, 1, 128,  256,    2,
DSConv14, 10, 10, 3, 3, 256,  675,   1,
WA14,	  8,  8,  1, 1,	675, 256,    1,
DSConv15, 10, 10, 3, 3, 256,  228,   1,
WA15,	  8,  8,  1, 1,	228, 256,    1,

DSConv16, 10, 10, 3, 3, 256,  237,   2,
WA16,	  6,  6,  1, 1,	237, 512,    1,
DSConv17, 8,  8,  3, 3, 512,  109,   1,
WA17,	  6,  6,  1, 1,	109, 512,    1,
WA18, 	  10, 10, 1, 1, 256,  512,    2,
DSConv19, 8, 8,   3, 3, 512,  207,   1,
WA19,	  6, 6,	  1, 1,	207, 512,    1,
DSConv20, 8, 8,   3, 3, 512,  26,   1,
WA20,	  6, 6,	  1, 1,	26, 512,    1,

FC1, 1, 1, 1, 1, 512, 10, 1,
