Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1,  34, 34,    3, 3,        3,      22,     1,
Conv2,  34, 34,    3, 3,        22,     62,     1,
Conv3,  18, 18,    3, 3,        62,     83,     1,
Conv4,  18, 18,     3, 3,       83,     119,    1,
Conv5,  10, 10,     3, 3,       119,    193,    1,
Conv6,  10, 10,     3, 3,       193,    168,    1,
Conv7,	10, 10,     3,	3,	168,	85,	1,
Conv8,	10, 10,     3,	3,	85,	40,	1,
Conv9,	6,  6,     3,	3,	40,	32,	1,
Conv10,	6,  6,     3,	3,	32,	32,	1,
Conv11,	6,  6,	     3,	3,	32,	32,	1,
Conv12, 6,  6,	     3,	3,	32,	32,	1,
Conv13, 4,   4,	     3,	3,	32,	32,	1,
Conv14,	4,   4,	     3,	3,	32,	32,	1,
Conv15,	4,   4,	     3,	3,	32,	32,	1,
Conv16,	4,   4,	     3,	3,	32,	38,	1,
FC1,	1,   1,	     1,	1,	38,	512,	1,
FC2,	1,   1,	     1,	1,	512,	512,	1,
FC3,	1,   1,	     1,	1,	512,	10,	1,
