Layer,	Cycles,	% Utilization,
DSConv1,	1047,	40.7278605015674,
WA1,	228,	0.0,
DSConv2,	9256,	94.11203178612276,
WA2,	2270,	0.0,
DSConv3,	2600,	94.45322902796272,
WA3,	5894,	0.0,
DSConv4,	5160,	97.16816791298436,
WA4,	12084,	0.0,
DSConv5,	1320,	89.34622762148338,
WA5,	23201,	0.0,
DSConv6,	2600,	94.45322902796272,
WA6,	36902,	0.0,
DSConv7,	2600,	94.45322902796272,
WA7,	27748,	0.0,
DSConv8,	648,	45.06996909340659,
WA8,	15697,	0.0,
DSConv9,	440,	43.38784159919029,
WA9,	4562,	0.0,
DSConv10,	200,	35.41782924107143,
WA10,	2698,	0.0,
DSConv11,	94,	7.691988031914894,
WA11,	1347,	0.0,
DSConv12,	76,	6.553248355263158,
WA12,	906,	0.0,
DSConv13,	67,	5.516849347014925,
WA13,	2586,	0.0,
FC1,	7808,	3.106386896375048,
FC2,	8224,	3.1073285297336737,
FC3,	522,	0.9512580974088293,
